Quantity,Designator,Description,Comment,MFR,MPN,Footprint

"1","C1","CAP, CER, 0402, 50V, 100pF","100pF","Murata","GCM1555C1H101FA16J","0402"
"1","C2","CAP, CER, 0402, 50V, 20pF","20pF","Murata","GRM1555C1H200JA01D","0402"
"1","C3","CAP, TANT, 0805, 50V, 0.1uF","0.1uF","Samsung EM","CL21B104KCFSFNE","0805"
"1","D1","DIODE, SHTKY","SD0805S020S0R5","Kyocera","SD0805S020S0R5","0805-POL"
"1","R1","RES, CHP, 0201, 1%, 100","75","Yageo","RC0402FR-0775RL","0402"
"1","R2","RES, CHP, 0201, 1%, 100","100K","Yageo","RC0402FR-07100KL","0402"
"1","R3","RES, CHP, 0201, 1%, 100","33","Yageo","RC0402FR-0733RL","0402"
"1","R4","RES, CHP, 0201, 1%, 100","4.7K","Yageo","RC0402FR-074K7L","0402"
"1","S1","HDR, IC, DIP, 28p","27C513","Ares","28-600-20","DIP28"
"1","U1","IC, EPROM, 512Kb, x8, DIP","27C512","Any","27C512-20","DIP28"
"1","U2","IC, LGC, LTCH, DUAL","74HCT75","TI","CD74HC75PWR","TSSOP-16"
"1","U3","IC,GATE,2IN,NOR,SNGL","74ACH1G02","TI","SN74AHC1G02DCKR","SC70-5"
"2","U4, U5","IC,GATE,2IN,AND,SNGL,","74AHC1G08","TI","SN74AHC1G08DCKRE4","SC70-5"
"1","U6","IC,GATE,2IN,OR,SNGL","74ACH1G32DBV","TI","SN74AHC1G32DCKR","SC70-5"
